,PPG,Avg_2PA,Avg_3PA,Avg_FTA,3PT_Percentage,True_Shooting_Percentage_Season,Effective_FG_Percentage_Season,TEAM_PPG,TEAM_AVG_PACE,OPP_2PA_AVG,OPP_2P%,OPP_3PA_AVG,OPP_3P%,OPP_FTA_AVG,BestGuardScoringAvg,StephScoringAVGvsOPP,PTS
0,,,,,,,,,,28.0,0.2857142857142857,12.0,0.4166666666666667,15.0,20.0,,14
1,14.0,11.0,1.0,0.0,0.0,0.5833333333333334,0.5833333333333334,107.0,98.5,8.0,0.5,5.0,0.4,6.0,12.0,,12
2,13.0,8.5,2.0,0.0,0.5,0.6190476190476191,0.6190476190476191,104.0,105.25,17.25,0.4927536231884058,10.0,0.525,9.0,26.75,,7
3,11.0,7.0,2.0,0.0,0.5,0.6111111111111112,0.6111111111111112,107.0,103.66666666666667,16.6,0.4578313253012048,6.8,0.3235294117647059,7.6,15.8,,5
4,9.5,6.25,1.75,1.0,0.42857142857142855,0.56047197640118,0.546875,102.75,103.125,23.166666666666668,0.5467625899280576,6.5,0.48717948717948717,7.5,24.333333333333332,,9
5,9.4,6.2,1.8,1.2,0.4444444444444444,0.5484247374562427,0.55,103.6,102.8,22.428571428571427,0.40764331210191085,10.714285714285714,0.36,8.142857142857142,17.857142857142858,,8
6,9.166666666666666,6.166666666666667,1.8333333333333333,1.6666666666666667,0.45454545454545453,0.5213270142180095,0.5104166666666666,110.66666666666667,103.33333333333333,19.6,0.3877551020408163,8.6,0.3953488372093023,9.8,18.8,,6
7,8.714285714285714,6.0,1.8571428571428572,1.4285714285714286,0.38461538461538464,0.5104602510460251,0.5,108.28571428571429,103.42857142857143,21.22222222222222,0.5392670157068062,8.777777777777779,0.379746835443038,9.0,19.88888888888889,,0
8,7.625,5.25,1.625,1.25,0.38461538461538464,0.5104602510460251,0.5,109.875,103.375,21.333333333333332,0.4296875,7.833333333333333,0.3191489361702128,6.5,18.833333333333332,,14
9,8.333333333333334,5.444444444444445,1.6666666666666667,1.1111111111111112,0.4666666666666667,0.5454545454545454,0.5390625,111.55555555555556,103.38888888888889,19.7,0.4517766497461929,7.8,0.2692307692307692,8.6,18.3,,14
10,8.9,5.3,2.1,1.1,0.42857142857142855,0.5616913852950458,0.5608108108108109,111.2,102.7,17.727272727272727,0.441025641025641,7.545454545454546,0.3132530120481928,6.909090909090909,15.454545454545455,,13
11,9.272727272727273,5.363636363636363,2.272727272727273,1.3636363636363635,0.4,0.5596707818930041,0.5476190476190477,109.72727272727273,102.45454545454545,21.307692307692307,0.4332129963898917,8.0,0.28846153846153844,8.0,18.53846153846154,,12
12,9.5,5.416666666666667,2.3333333333333335,1.6666666666666667,0.42857142857142855,0.5560975609756098,0.5376344086021505,109.58333333333333,102.16666666666667,21.307692307692307,0.48014440433212996,9.153846153846153,0.36134453781512604,7.6923076923076925,20.076923076923077,,18
13,10.153846153846153,5.615384615384615,2.4615384615384617,1.8461538461538463,0.4375,0.5670103092783505,0.5428571428571428,109.6923076923077,102.23076923076923,23.25,0.45161290322580644,8.916666666666666,0.32710280373831774,9.5,19.583333333333332,,11
14,10.214285714285714,6.071428571428571,2.5714285714285716,1.7142857142857142,0.4166666666666667,0.5400302114803626,0.5165289256198347,109.28571428571429,102.35714285714286,19.928571428571427,0.4444444444444444,9.357142857142858,0.3053435114503817,8.571428571428571,16.428571428571427,,13
15,10.4,6.333333333333333,2.7333333333333334,1.7333333333333334,0.3902439024390244,0.525783619817998,0.5,108.46666666666667,102.43333333333334,21.5,0.43521594684385384,8.428571428571429,0.3813559322033898,9.5,19.571428571428573,6.0,7
16,10.1875,6.125,2.6875,1.75,0.3953488372093023,0.5281918340894362,0.5,109.5625,102.90625,22.41176470588235,0.4540682414698163,9.647058823529411,0.32926829268292684,10.470588235294118,21.529411764705884,,10
17,10.176470588235293,6.235294117647059,2.8823529411764706,1.6470588235294117,0.3877551020408163,0.5139631610219845,0.4870967741935484,109.41176470588235,103.05882352941177,21.27777777777778,0.4934725848563969,7.055555555555555,0.3700787401574803,7.333333333333333,21.22222222222222,14.0,11
18,10.222222222222221,6.166666666666667,2.888888888888889,1.6666666666666667,0.38461538461538464,0.5190409026798307,0.49079754601226994,109.38888888888889,103.13888888888889,23.105263157894736,0.43507972665148065,8.052631578947368,0.4117647058823529,7.684210526315789,19.210526315789473,,13
19,10.368421052631579,6.368421052631579,2.8421052631578947,1.631578947368421,0.37037037037037035,0.5191724864936091,0.49142857142857144,109.84210526315789,103.02631578947368,17.842105263157894,0.4306784660766962,8.368421052631579,0.33962264150943394,8.31578947368421,16.263157894736842,,22
20,10.95,6.55,2.9,1.65,0.3793103448275862,0.5349945034811285,0.5079365079365079,108.75,103.0,18.19047619047619,0.5,8.0,0.35714285714285715,7.619047619047619,17.952380952380953,,14
21,11.095238095238095,6.666666666666667,2.9523809523809526,1.6666666666666667,0.3709677419354839,0.5328759291023442,0.5074257425742574,108.57142857142857,102.80952380952381,19.9,0.4849246231155779,10.6,0.33962264150943394,8.65,17.75,,6
22,10.863636363636363,6.636363636363637,2.9545454545454546,1.5909090909090908,0.35384615384615387,0.5249862712795168,0.5,107.77272727272727,102.5,16.818181818181817,0.45135135135135135,10.0,0.38181818181818183,8.409090909090908,16.363636363636363,,19
23,11.217391304347826,6.608695652173913,3.0,1.7826086956521738,0.37681159420289856,0.536438299199501,0.5067873303167421,107.21739130434783,102.26086956521739,19.304347826086957,0.47297297297297297,9.304347826086957,0.40186915887850466,7.565217391304348,18.217391304347824,,14
24,11.333333333333334,6.708333333333333,3.0416666666666665,1.875,0.3698630136986301,0.5325501713166911,0.5021367521367521,106.95833333333333,102.125,22.318181818181817,0.4480651731160896,7.5,0.3393939393939394,7.909090909090909,19.272727272727273,11.0,8
25,11.2,6.8,3.0,1.8,0.36,0.5255748474894416,0.4959183673469388,106.32,102.04,21.869565217391305,0.46322067594433397,9.521739130434783,0.3881278538812785,9.521739130434783,20.130434782608695,,27
26,11.807692307692308,6.846153846153846,3.230769230769231,1.8846153846153846,0.38095238095238093,0.5380772938392779,0.5076335877862596,106.42307692307692,102.28846153846153,20.703703703703702,0.49016100178890876,8.777777777777779,0.41350210970464135,7.148148148148148,19.74074074074074,7.0,14
27,11.88888888888889,6.925925925925926,3.3333333333333335,1.8148148148148149,0.37777777777777777,0.5345100324702357,0.5054151624548736,106.48148148148148,102.31481481481481,19.46153846153846,0.49407114624505927,10.153846153846153,0.3560606060606061,6.769230769230769,18.846153846153847,,17
28,12.071428571428571,6.964285714285714,3.392857142857143,1.8214285714285714,0.3894736842105263,0.5378311719309412,0.5086206896551724,106.32142857142857,102.25,19.333333333333332,0.45,9.433333333333334,0.35335689045936397,7.466666666666667,16.133333333333333,12.0,13
29,12.10344827586207,6.931034482758621,3.413793103448276,1.8275862068965518,0.40404040404040403,0.5397093872530175,0.51,107.20689655172414,102.46551724137932,19.448275862068964,0.46631205673758863,7.310344827586207,0.25943396226415094,7.586206896551724,16.96551724137931,13.0,0
30,11.7,6.8,3.3333333333333335,1.8,0.4,0.5323828302745336,0.5032894736842105,107.06666666666666,102.5,23.666666666666668,0.44366197183098594,9.2,0.31521739130434784,8.333333333333334,18.2,13.0,15
31,11.806451612903226,6.870967741935484,3.2580645161290325,1.8387096774193548,0.39603960396039606,0.5365388844095873,0.5063694267515924,107.41935483870968,102.5,20.794117647058822,0.4526166902404526,8.117647058823529,0.3333333333333333,6.970588235294118,18.08823529411765,12.0,9
32,11.71875,6.90625,3.21875,1.78125,0.39805825242718446,0.5340739158299509,0.5046296296296297,106.84375,102.1875,22.352941176470587,0.4644736842105263,8.764705882352942,0.3221476510067114,10.117647058823529,21.441176470588236,10.0,26
33,12.151515151515152,6.909090909090909,3.303030303030303,1.7272727272727273,0.43119266055045874,0.5507107052118383,0.5237388724035609,107.3030303030303,102.18181818181819,20.2,0.48797736916548795,10.771428571428572,0.3713527851458886,7.685714285714286,18.942857142857143,8.0,16
34,12.264705882352942,6.970588235294118,3.264705882352941,1.7352941176470589,0.42342342342342343,0.5544844092812978,0.5272988505747126,107.29411764705883,102.13235294117646,23.852941176470587,0.4599260172626387,7.735294117647059,0.35361216730038025,9.382352941176471,20.0,9.0,12
35,12.257142857142858,7.0,3.2285714285714286,1.7428571428571429,0.4247787610619469,0.5542993733445313,0.5279329608938548,107.31428571428572,102.11428571428571,20.743589743589745,0.446229913473424,8.846153846153847,0.3188405797101449,7.666666666666667,19.23076923076923,14.0,21
36,12.5,7.166666666666667,3.1944444444444446,1.8333333333333333,0.4260869565217391,0.5564486212439718,0.5294906166219839,107.5,102.125,16.0,0.4652777777777778,8.472222222222221,0.36721311475409835,7.833333333333333,17.083333333333332,,9
37,12.405405405405405,7.108108108108108,3.2432432432432434,1.7837837837837838,0.43333333333333335,0.5538795704114878,0.5274151436031331,107.35135135135135,101.79729729729729,21.77777777777778,0.4630102040816326,8.25,0.3501683501683502,10.027777777777779,18.305555555555557,14.0,18
38,12.552631578947368,7.2631578947368425,3.263157894736842,1.8157894736842106,0.4274193548387097,0.5510946796834383,0.52375,107.26315789473684,101.82894736842105,19.42105263157895,0.4715447154471545,10.052631578947368,0.36387434554973824,7.2894736842105265,17.55263157894737,6.0,26
39,12.897435897435898,7.333333333333333,3.3846153846153846,1.8461538461538463,0.4393939393939394,0.5561698363555949,0.5287081339712919,107.43589743589743,101.93589743589743,21.475,0.4575087310826543,8.9,0.33707865168539325,9.5,20.675,18.0,15
40,12.95,7.375,3.5,1.8,0.4357142857142857,0.552003410059676,0.5252873563218391,107.7,101.79875,18.634146341463413,0.4869109947643979,7.853658536585366,0.37888198757763975,7.560975609756097,17.29268292682927,14.0,32
41,13.414634146341463,7.536585365853658,3.5853658536585367,1.951219512195122,0.43537414965986393,0.5566801619433198,0.5285087719298246,107.78048780487805,101.68170731707316,19.522727272727273,0.4575087310826543,10.090909090909092,0.36261261261261263,7.454545454545454,17.704545454545453,12.5,25
42,13.69047619047619,7.738095238095238,3.7142857142857144,1.9285714285714286,0.4358974358974359,0.553443380335916,0.525987525987526,107.66666666666667,101.65357142857142,23.11627906976744,0.47283702213279677,7.930232558139535,0.34310850439882695,9.0,20.162790697674417,10.5,27
43,14.0,7.837209302325581,3.86046511627907,2.0,0.42771084337349397,0.5534614323802519,0.525844930417495,107.3953488372093,101.73139534883721,20.431818181818183,0.4783092324805339,9.318181818181818,0.37317073170731707,7.545454545454546,19.0,17.0,15
44,14.022727272727273,7.886363636363637,3.840909090909091,1.9545454545454546,0.4260355029585799,0.5540091586603214,0.5271317829457365,107.45454545454545,101.8965909090909,17.568181818181817,0.4760672703751617,10.068181818181818,0.34988713318284426,7.386363636363637,18.727272727272727,,22
45,14.2,7.955555555555556,3.8444444444444446,2.0,0.4277456647398844,0.5568627450980392,0.5291902071563088,107.5111111111111,101.85444444444444,20.369565217391305,0.4429028815368196,8.565217391304348,0.31725888324873097,6.956521739130435,17.695652173913043,22.0,14
46,14.195652173913043,7.956521739130435,3.8043478260869565,2.0434782608695654,0.4342857142857143,0.5575002134380603,0.5286506469500925,107.43478260869566,101.79239130434782,21.893617021276597,0.48299319727891155,8.148936170212766,0.3577023498694517,7.723404255319149,20.29787234042553,12.5,14
47,14.191489361702128,8.063829787234043,3.8297872340425534,2.0,0.43333333333333335,0.5524724592064939,0.5241502683363148,107.2127659574468,101.75425531914894,22.270833333333332,0.4724041159962582,8.583333333333334,0.38106796116504854,7.604166666666667,20.270833333333332,18.0,6
